,cfc,state,county,0-17,18-25,26-34,35-44,45-54,55-64,65+,age_unknown,no_aptc,yes_aptc,no_csr,yes_csr,american_alaska_native,asian,black,latino,hawaiian_native_pacific_islander,multiracial,white,ethnicity_unknown,fpl_<_100,fpl_<_151,fpl_<_201,fpl_<_251,fpl_<_301,fpl_<_401,fpl_>_400,fpl_unknown,platinum,gold,silver,bronze,catastrophic,new,active_renew,auto_renew,tps,Year
832,28085,MS,Lincoln County,0.0,0.1197,0.1483,0.1726,0.2541,0.2853,0.0,0.0,0.0451,0.9549,0.2212,0.7788,0.0,0.0121,0.3062,0.0,0.0,0.0,0.2879,0.3877,0.0,0.5941,0.1856,0.0902,0.0564,0.0312,0.0,0.0199,0.0,0.03,0.84,0.11,0.0,0.5976,0.1561,0.2463,1153.0,2015
833,28087,MS,Lowndes County,0.0,0.1371,0.1709,0.1669,0.2314,0.2691,0.0,0.0,0.0766,0.9234,0.208,0.792,0.0,0.0251,0.4086,0.0,0.0,0.0,0.1914,0.3674,0.0303,0.5989,0.1943,0.0829,0.0343,0.0,0.0,0.0309,0.0,0.03,0.84,0.13,0.0,0.56,0.1531,0.2869,1750.0,2015
834,28089,MS,Madison County,0.0569,0.1574,0.1939,0.1887,0.2023,0.195,0.0059,0.0,0.0715,0.9285,0.2678,0.7322,0.0,0.0543,0.3677,0.009,0.0,0.0,0.165,0.3998,0.0165,0.5871,0.1826,0.0925,0.0483,0.0437,0.0059,0.0233,0.07,0.05,0.8,0.08,0.01,0.4245,0.1873,0.3882,5750.0,2015
835,28091,MS,Marion County,0.0314,0.1226,0.1236,0.1874,0.2482,0.2867,0.0,0.0,0.0365,0.9635,0.1824,0.8176,0.0,0.0223,0.3293,0.0,0.0,0.0,0.231,0.4144,0.0,0.6565,0.1783,0.0699,0.0243,0.0334,0.0,0.0193,0.03,0.03,0.85,0.08,0.01,0.6555,0.1358,0.2087,987.0,2015
836,28093,MS,Marshall County,0.0,0.125,0.1311,0.1684,0.2645,0.279,0.0,0.0,0.0701,0.9299,0.2492,0.7508,0.0,0.0,0.3201,0.0206,0.0,0.0,0.2203,0.4329,0.0,0.5724,0.1959,0.1136,0.0366,0.0343,0.0,0.0267,0.0,0.03,0.82,0.12,0.0,0.6326,0.1357,0.2317,1312.0,2015
837,28095,MS,Monroe County,0.0,0.1198,0.1724,0.198,0.1993,0.2873,0.0,0.0,0.0807,0.9193,0.2433,0.7567,0.0,0.0171,0.2848,0.0,0.0,0.0,0.2775,0.4156,0.0,0.6015,0.1858,0.077,0.0562,0.0208,0.0,0.0342,0.0,0.03,0.82,0.14,0.0,0.6345,0.1394,0.2262,818.0,2015
838,28099,MS,Neshoba County,0.0,0.1441,0.1659,0.1419,0.2249,0.2882,0.0,0.0,0.1179,0.8821,0.3013,0.6987,0.0,0.0633,0.2096,0.0,0.0,0.0,0.3668,0.3384,0.0568,0.5022,0.2358,0.0786,0.0502,0.0,0.0,0.0393,0.0,0.04,0.79,0.14,0.0,0.6332,0.1397,0.2271,458.0,2015
839,28101,MS,Newton County,0.0,0.1236,0.1216,0.1776,0.2394,0.3108,0.0,0.0,0.0483,0.9517,0.1931,0.8069,0.0,0.0,0.2992,0.0,0.0,0.0,0.251,0.417,0.0,0.6062,0.2162,0.0927,0.0309,0.0,0.0,0.0212,0.0,0.0,0.86,0.11,0.0,0.6448,0.0927,0.2625,518.0,2015
840,28103,MS,Noxubee County,0.0,0.1389,0.0889,0.1917,0.2444,0.3194,0.0,0.0,0.1,0.9,0.2333,0.7667,0.0,0.0,0.5556,0.0,0.0,0.0,0.0667,0.3778,0.0306,0.6139,0.1417,0.1194,0.0333,0.0,0.0,0.0333,0.0,0.0,0.82,0.16,0.0,0.5444,0.1194,0.3361,360.0,2015
841,28105,MS,Oktibbeha County,0.0,0.2053,0.2567,0.1335,0.1509,0.2197,0.0,0.0,0.1047,0.8953,0.2639,0.7361,0.0,0.0431,0.3152,0.0,0.0,0.0,0.2546,0.3747,0.0431,0.5719,0.1951,0.0924,0.039,0.0,0.0,0.0298,0.02,0.02,0.78,0.18,0.0,0.6509,0.1417,0.2074,974.0,2015
